Entity,Label
IR,ORG
30 Jan 2024,DATE
Yangyang Liu1[0009−0001−0539−338X,PERSON
New Zealand,GPE
2 Institute of Software Chinese Academy of Sciences,ORG
Beijing,GPE
China,GPE
scientiﬁc research,ORG
PDF,ORG
AutoIE,GPE
four,CARDINAL
1,CARDINAL
PDF,ORG
2,CARDINAL
3,CARDINAL
4,CARDINAL
SBERT,PERSON
Marco F1,ORG
87.19,CARDINAL
89.65,CARDINAL
ADE,ORG
AutoIE,GPE
78%,PERCENT
"scientiﬁc docu-
ment",PERSON
Analysis,ORG
1,CARDINAL
an approximate 4%,PERCENT
annual,DATE
1,CARDINAL
AutoIE,GPE
2,CARDINAL
Yangyang Liu,PERSON
Shoubin Li,PERSON
1,CARDINAL
2,CARDINAL
3,CARDINAL
Fig,PERSON
1,CARDINAL
three,CARDINAL
"Location Unit, Information Extraction Unit",ORG
"Display and Human Feedback
Unit",ORG
Location Unit,ORG
"the Multi-Semantic Feature
Fusion",ORG
Approach,ORG
PDF Document Layout Analysis,ORG
Advanced Functional Block Recognition,ORG
Scientiﬁc Texts,PERSON
AFBRSC,ORG
the Information Extraction Unit,ORG
SBERT,PERSON
the Human Feedback Unit,ORG
"the Online Learning Paradigm Tailored
Method",ORG
OLPTM,ORG
1,CARDINAL
SBERT’s Technical Superiority,ORG
SBERT,PERSON
Marco F1,FAC
87.19,CARDINAL
89.65,CARDINAL
ADE,ORG
78%,PERCENT
SBERT,ORG
2,CARDINAL
AutoIE,GPE
AutoIE,GPE
Molecular,GPE
3,CARDINAL
2.1,CARDINAL
16,CARDINAL
SSD,ORG
17,CARDINAL
YOLO,ORG
18,CARDINAL
2017,DATE
19,CARDINAL
2.2,CARDINAL
Bowen,PERSON
al,PERSON
21,CARDINAL
Zeng,PERSON
al,PERSON
22,CARDINAL
6,CARDINAL
23,CARDINAL
6,CARDINAL
BERT,ORG
BERT,ORG
Fatema et al,PERSON
24,CARDINAL
Bert,PERSON
NLP,ORG
BERT,ORG
SBERT,PERSON
BERT,ORG
3,CARDINAL
Fig,PERSON
1,CARDINAL
4,CARDINAL
Yangyang Liu,PERSON
Shoubin Li,PERSON
Location,ORG
1,CARDINAL
3.1,CARDINAL
3.1.1,CARDINAL
Location,ORG
Location Unit,ORG
PDF,ORG
two,CARDINAL
PDF,ORG
Firstly,ORDINAL
2,CARDINAL
PDF,ORG
3,CARDINAL
3.1.2 Information Extraction,ORG
The Information Extraction Unit,ORG
Layout,GPE
Human Feedback Unit,ORG
Title Suppressed Due to Excessive Length,WORK_OF_ART
5,CARDINAL
Sentence-BERT,ORG
SBERT,ORG
3.1.3,CARDINAL
Display and Human Feedback Unit,ORG
The Display and Human Feedback Unit,ORG
SBERT,PERSON
the Information Extraction,ORG
Model Training Units,PERSON
3.2,CARDINAL
SBERT,PERSON
PDF,ORG
3.2.1,CARDINAL
Span Embedding,PERSON
4,CARDINAL
BERT,ORG
Width Embedding,PERSON
5,CARDINAL
6,CARDINAL
BERT,ORG
7,CARDINAL
NLTK,ORG
8,CARDINAL
NLTK,ORG
6,CARDINAL
Yangyang Liu,PERSON
Shoubin Li,PERSON
Loc,PERSON
2,CARDINAL
SBERT,ORG
Fig,PERSON
2,CARDINAL
two,CARDINAL
Subse-,PERSON
Fig,PERSON
2,CARDINAL
6,CARDINAL
max,PERSON
max,PERSON
BERT,ORG
ω1,CARDINAL
Title Suppressed Due to Excessive Length,WORK_OF_ART
7,CARDINAL
Ek,PERSON
1,CARDINAL
∗means,NORP
the top right half,DATE
Fig,PERSON
2,CARDINAL
N*N,ORG
N*N,ORG
three,CARDINAL
1,CARDINAL
c(e1,ORG
6,CARDINAL
max,PERSON
2,CARDINAL
BERT,ORG
ωe2,PERSON
c(ωe1,ORG
ωe2,WORK_OF_ART
ωe2,WORK_OF_ART
p(c(ωe1,GPE
ωe2,PERSON
3,CARDINAL
k2,PERSON
three,CARDINAL
∗p(ωe1,PERSON
2,CARDINAL
∗means,NORP
8,CARDINAL
Yangyang Liu,PERSON
Shoubin Li,PERSON
two,CARDINAL
SBERT,ORG
4.1,CARDINAL
two,CARDINAL
one,CARDINAL
1,CARDINAL
Conll04,GPE
9,CARDINAL
four,CARDINAL
"Kill, Organization-Based-In",ORG
Located-In,ORG
10,CARDINAL
1153,DATE
288,CARDINAL
2,CARDINAL
ADE,ORG
11,CARDINAL
Adverse-Eﬀect and Drug,WORK_OF_ART
Adverse-Eﬀect,WORK_OF_ART
ten,CARDINAL
6,CARDINAL
3,CARDINAL
PDF,ORG
2000,CARDINAL
two,CARDINAL
DOI,ORG
"Alkali
Source",ORG
Crystallization Conditions,ORG
Crystallization Conditions,ORG
Gel Composition,ORG
Silicon Source,ORG
